OPC	NFOL	MOL	Astrocyte	Neuron	Microglia
5730559C18Rik	Phldb1	Cdr2	Prrx2	Plekha7	Itgam
Gstt1	Rgs16	Arl2	Gjb6	L3mbtl1	Ebi3
Prr16	Mex3b	AA986860	Tsku	Gm16532	Pycard
Rbpjl	Ptgds	Slc25a1	A930001A20Rik	Prlhr	Slc37a2
Slitrk4	Mir686	Enpp2	Mtmr11	Kcnq5	Clec4a2
Lpar3	Mtap7	Hist1h2bk	Plch1	Cbln4	4632428N05Rik
LOC626082	Slc35f3	1700047M11Rik	Ccnd2	Oxtr	Glipr1
Nell2	Pus7	Mobkl2b	Acsf2	Prtn3	Myo7a
Chst11	Fam73a	Fam57a	Mapk4	Cnr1	Lyz1
Dbpht2	Ank3	Tmem141	Nphp3	Kcns2	H2-Ob
Dscam	Bcar1	Eml1	Acsl6	Efna3	Gbgt1
Kifc1	Hhip	Enoph1	Sfxn5	Rxfp1	Ctss
Epn2	Klhl2	Gprc5b	Ddo	AW551984	Fam83g
Pbk	Gipc1	Zdhhc9	Itga2	Gabra5	Hmga2-ps1
Slc35f1	4933413G19Rik	Gstp2	Ptch1	Fam159b	6030468B19Rik
Shisa7	Nfe2l3	Shisa4	Dtna	Lrrc26	Dennd1c
Lamc3	Ednra	Plin3	Ptpn13	Baiap3	Ikzf1
Pdgfrl	Dock10	Tspan15	Htra1	Cacna1b	Ticam2
AI118078	Tcf7l2	Cdk18	C4b	Zcchc12	Csf2rb2
Nmnat2	9830001H06Rik	Sccpdh	Frmpd1	Zic1	Tlr7
Col15a1	Fnta	Cenpb	Lrrc9	Sv2b	Cd180
Spsb4	Slc6a8	Rhpn2	Slc13a1	Ybx2	Abi3
Creg2	Steap1	Cela1	Egfl6	Dact1	Aif1
Prss50	Kcna1	Cpox	Rasa2	Col24a1	Hcst
Dpp10	Plk5	Tmcc2	Gabrg1	Scrt2	Neurl3
Fam19a1	Tle6	Carhsp1	Atp1a2	Erc2	Adrb2
Tmem121	Il1rap	Ado	Rbpms2	Gm10035	Cebpa
Slc16a12	Gnb4	Aatk	3110079O15Rik	2610018G03Rik	Ctsd
Ckap2l	Erbb3	Kctd13	Lrrc38	Hspa12a	Mlxipl
Kcnd2	Cdh20	Tppp	Tril	Celf5	Cd5
Slc41a2	Grlf1	Hist1h2bl	C030037D09Rik	Rhov	Lyve1
Cdc25c	Cldn11	B3gnt9-ps	D030047H15Rik	Gria1	Il4i1
4833422C13Rik	Shisa4	Elovl1	Six5	Cdh4	Rbm47
Ppp1r14c	4930402H24Rik	Grb14	Car5b	Col6a2	Coro1a
Accn1	Matn2	Tyro3	9430041J12Rik	Epha3	Clec4a1
Il17d	Cnp	Il23a	Id4	Kctd16	Dok3
Qpct	Cd9	Pvalb	Scara3	Fam123c	Ccr6
Mmp17	Gab3	Ttll7	Atp1b2	A230073K19Rik	Ly86
Mkx	Tmem88b	Klhl2	A830093I24Rik	Chat	Fam105a
Nptx2	Ephb1	Gltp	1700007K13Rik	Kcna4	Gm10790
Scel	Ado	Sbf1	1700003M07Rik	Gcgr	Traf3ip3
Nt5e	Fmnl2	Sirt2	Bhlhe40	Cntnap4	Ngp
Slc4a10	Pmel	Mtap7	Acot11	Hcn1	Slco4a1
Lrrc4c	Ano4	Arhgef10	Igdcc4	Foxo6	2610528A11Rik
Tmem90b	Cyp27a1	Ggct	Mtap7d3	Fam150b	Itgb5
Pmel	Otud7b	Golga7	Ppil6	Trhde	Cd48
Nkain3	D430041D05Rik	Prkcz	Klf15	Cacna2d1	Il6ra
Lrrn3	Tmeff2	Shroom3	Tpbg	Grip2	Ttc7
Wnt4	E130308A19Rik	Bcas1	Ptprz1	Tmem200a	Cmtm7
Ankrd43	Acsl3	Grhpr	Syne1	Htr7	Siglec5
Kif18b	A330049M08Rik	Mtap4	G530011O06Rik	Pdcd1lg2	Batf3
A730017C20Rik	Ppap2c	Fkbp1a	Fgfr1	Doc2b	Btk
Neu4	Pllp	Macrod1	Vegfa	Nhlh1	Dock8
Aldh1l2	Arhgap24	2810429I04Rik	Fxyd1	Neurod2	Unc13d
Olig1	Nipa1	Gpd1	Bdnf	A830018L16Rik	Rgs1
Kcnmb4	Sez6l	Rasal1	Lonrf3	Slc38a4	Rtn4rl1
Rxrg	Jam3	Slc34a3	Gm216	Nrg3	Rgs10
Syt16	Tmem20	Ano4	Trps1	Ndst3	Cd53
Scn3a	Panx1	Nudt8	Lrrk2	Ppfia4	Nuak2
Nudt17	Frmd5	BC057022	Upp1	Nrxn3	Rab3il1
Fam19a2	6330503K22Rik	Elovl7	Alpk1	Cacna2d3	Slc5a10
2200002K05Rik	Sulf2	Apbb1	Wwc1	Gng2	Tagap
Podn	Plekhn1	Frmd8	Adrbk2	Vax1	Havcr2
Masp1	Dhcr24	Lect1	Ntrk3	Actl6b	Tlr1
Itgav	Alox5	Nfe2l3	Nhsl1	Ebf2	Phyhd1
Ampd3	Pcdh9	Gm98	D930015M05Rik	Neurod6	Ifi27l2a
