OPC	NFOL	MOL
Nt5e	Fmnl2	Sirt2
Slc4a10	Pmel	Mtap7
Lrrc4c	Ano4	Arhgef10
Tmem90b	Cyp27a1	Ggct
Pmel	Otud7b	Golga7
Nkain3	D430041D05Rik	Prkcz
Lrrn3	Tmeff2	Shroom3
Wnt4	E130308A19Rik	Bcas1
Ankrd43	Acsl3	Grhpr
Kif18b	A330049M08Rik	Mtap4
A730017C20Rik	Ppap2c	Fkbp1a
Neu4	Pllp	Macrod1
Aldh1l2	Arhgap24	2810429I04Rik
Olig1	Nipa1	Gpd1
Kcnmb4	Sez6l	Rasal1
Rxrg	Jam3	Slc34a3
Syt16	Tmem20	Ano4
Scn3a	Panx1	Nudt8
Nudt17	Frmd5	BC057022
Fam19a2	6330503K22Rik	Elovl7
2200002K05Rik	Sulf2	Apbb1
Podn	Plekhn1	Frmd8
Masp1	Dhcr24	Lect1
Itgav	Alox5	Nfe2l3
Ampd3	Pcdh9	Gm98
Traf4	Col9a2	Dhcr24
Racgap1	Lpar1	Fnbp1
Pcolce2	Osbpl1a	Igsf8
Sulf2	Samd4b	Spock3
Fignl1	Susd5	Gnai1
Cdca3	Acsl1	Emilin2
Nuf2	Serinc5	Mtap1a
Nrg2	Neo1	Fam83d
Pcsk2	Eif2c3	Pink1
Ccnb1	Reep5	Cdh19
Mdk	Ptpre	Fth1
Cetn4	Kank1	Synpo
Gpc5	BC057022	Fdps
Klhl13	Tjap1	Erbb3
Sdr42e1	Pcdh7	Trim59
Tpx2	Agpat4	Tmem63a
Pcdhb10	8430427H17Rik	Itpk1
Rcn1	Sox8	Cpm
Prss41	Cadm4	Nudt16
Itih5	Rictor	Kif13b
Lypd1	E330009J07Rik	Aacs
Rrm2	Sema6a	Pcyt2
Sox6	Gal3st1	Unc5b
Serpina3n	Dock9	Sytl2
Zdhhc23	Ehd3	Hist1h3d
Pcdhb2	Lcorl	Ppfia3
Vat1l	Ubl3	Rffl
Tac1	Atrn	Rnf13
Chga	Sec14l5	Snx33
Gm2a	Has2as	Leprel4
Adora1	Dixdc1	Omg
Mcm6	Lrrc42	Gsto2
Aldh1a1	Tm7sf3	Kndc1
Oprl1	Bcl7a	Pkp4
Inhbb	Ttll7	Taldo1
Spc24	Mpzl1	Bpgm
Rad54l	Tmem132b	Fn3k
Pcdhb9	Cacnb4	Nudt4
6430704M03Rik	Ppm1l	Tmem81
Ptpru	Gas7	Usp54
Zdhhc2	C030019I05Rik	Snx15
Kcnk10	Pcdh17	Dpy19l1
9430021M05Rik	Kcnq3	Gna12
Serping1	Hipk2	Parm1
Cys1	Idh1	Tesk2
1700025G04Rik	Sh3rf1	Evi2a
Klc3	Tmem159	Fcho1
S100a1	Ephx4	Slc4a2
Lin7a	Alad	Faah
Fanca	Kirrel3	Ddr1
Ect2	Spsb1	Pla2g4a
Adcy3	Steap2	Ly6g6d
2700023E23Rik	Arhgef10l	5031439G07Rik
Fancd2	Wasf1	Pde6d
Iqcj-schip1	Rap1a	Nrsn1
Mcm5	Scrg1	Fam131b
Adam9	Pfn2	Zfp651
Tmem35	3110035E14Rik	Fam177a
Neto1	Ell2	Fgd3
Nlgn1	Cadm2	Thbs3
Aebp1	Timp4	Ppp1r16b
Sema3d	Ept1	Nacad
Htr5a	Pnpla3	Zcchc17
Extl1	Btbd16	Epb4.1l3
Spin2	Iffo1	Eml2
Olig2	Sorcs1	Ypel2
Efcab1	Mink1	Hist2h3c1
Wdhd1	Tmem117	Slc44a1
Angptl1	Llgl1	Jakmip3
Ptchd2	Gpr176	Atg4c
Rbp4	Golga7	Spg20
Unc80	Abca2	Jph1
Uhrf1	B930003M22Rik	Wscd1
Kif2c	Slc4a8	Dip2a
Gfra1	Wfikkn1	Sspn
Pcbd1	Padi2	Pigq
Shh	Efs	Vmp1
Fbxo17	Sox10	Fntb
E130306D19Rik	Cyp2j6	R3hcc1
Abcb4	Gramd3	Osbpl1a
